INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,MARKET_RUN_ID,PRODUCT_TYPE,PRODUCT_TYPE_ORDER,SUMMARY_CAT,SUMMARY_CAT_ORDER,SELF_SCHEDULE,ENERGY_BID,VIRTUAL_BID,TOTAL,GROUP
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,DEMAND,1,Dollars Cleared ($),4,19785766.0601903,1079241.0591771,1154403.6325609,22019410.7519283,1
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,DEMAND,1,Dollars Submitted ($),2,,15363077.216,20166.8676,15383244.0836,2
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,DEMAND,1,Energy Cleared (MWh),3,553894.02,28061.64,32427.39,614383.05,3
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,DEMAND,1,Energy Submitted (MWh),1,553893.993,32278.291,128060.51,714232.794,4
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,EXPORTS,3,Dollars Cleared ($),4,558008.96767,280059.3465112,0,838068.3141812,5
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,EXPORTS,3,Dollars Submitted ($),2,,-2472531.49,0,-2472531.49,6
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,EXPORTS,3,Energy Cleared (MWh),3,15513,8180.24,0,23693.24,7
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,EXPORTS,3,Energy Submitted (MWh),1,15513,86147,0,101660,8
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,IMPORTS,4,Dollars Cleared ($),4,2698944.45965,2633447.9065247,0,5332392.3661747,9
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,IMPORTS,4,Dollars Submitted ($),2,,19356218.91,0,19356218.91,10
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,IMPORTS,4,Energy Cleared (MWh),3,75352,72128.49,0,147480.49,11
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,IMPORTS,4,Energy Submitted (MWh),1,57139,151077,0,208216,12
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,SUPPLY,2,Dollars Cleared ($),4,5093321.2400705,9767685.8724113,1969181.5188703,16830188.6313521,13
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,SUPPLY,2,Dollars Submitted ($),2,,33751773.4223,38719459.1447,72471232.567,14
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,SUPPLY,2,Energy Cleared (MWh),3,160641.23,278061.92,67385.1,506088.25,15
2019-10-10T07:00:00-00:00,2019-10-11T07:00:00-00:00,2019-10-10,DAM,SUPPLY,2,Energy Submitted (MWh),1,180774.528,504358.937,228468.57,913602.035,16
