INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2019-10-11T03:00:00-00:00,2019-10-11T04:00:00-00:00,ALL,2019-10-10,21,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,1090,1
2019-10-11T05:00:00-00:00,2019-10-11T06:00:00-00:00,ALL,2019-10-10,23,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,1039,1
2019-10-11T02:00:00-00:00,2019-10-11T03:00:00-00:00,ALL,2019-10-10,20,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,1201,1
2019-10-11T00:00:00-00:00,2019-10-11T01:00:00-00:00,ALL,2019-10-10,18,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,1154,1
2019-10-10T23:00:00-00:00,2019-10-11T00:00:00-00:00,ALL,2019-10-10,17,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,887,1
2019-10-10T15:00:00-00:00,2019-10-10T16:00:00-00:00,ALL,2019-10-10,9,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,1041.16,1
2019-10-10T17:00:00-00:00,2019-10-10T18:00:00-00:00,ALL,2019-10-10,11,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,1051,1
2019-10-10T16:00:00-00:00,2019-10-10T17:00:00-00:00,ALL,2019-10-10,10,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,966,1
2019-10-10T09:00:00-00:00,2019-10-10T10:00:00-00:00,ALL,2019-10-10,3,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,907,1
2019-10-11T04:00:00-00:00,2019-10-11T05:00:00-00:00,ALL,2019-10-10,22,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,905,1
2019-10-10T21:00:00-00:00,2019-10-10T22:00:00-00:00,ALL,2019-10-10,15,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,951.08,1
2019-10-10T12:00:00-00:00,2019-10-10T13:00:00-00:00,ALL,2019-10-10,6,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,845,1
2019-10-10T07:00:00-00:00,2019-10-10T08:00:00-00:00,ALL,2019-10-10,1,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,923,1
2019-10-10T18:00:00-00:00,2019-10-10T19:00:00-00:00,ALL,2019-10-10,12,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,952,1
2019-10-10T13:00:00-00:00,2019-10-10T14:00:00-00:00,ALL,2019-10-10,7,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,766,1
2019-10-10T22:00:00-00:00,2019-10-10T23:00:00-00:00,ALL,2019-10-10,16,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,1138,1
2019-10-10T14:00:00-00:00,2019-10-10T15:00:00-00:00,ALL,2019-10-10,8,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,1012,1
2019-10-10T19:00:00-00:00,2019-10-10T20:00:00-00:00,ALL,2019-10-10,13,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,1071,1
2019-10-10T10:00:00-00:00,2019-10-10T11:00:00-00:00,ALL,2019-10-10,4,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,902,1
2019-10-10T08:00:00-00:00,2019-10-10T09:00:00-00:00,ALL,2019-10-10,2,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,913,1
2019-10-11T01:00:00-00:00,2019-10-11T02:00:00-00:00,ALL,2019-10-10,19,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,1181,1
2019-10-10T20:00:00-00:00,2019-10-10T21:00:00-00:00,ALL,2019-10-10,14,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,864,1
2019-10-10T11:00:00-00:00,2019-10-10T12:00:00-00:00,ALL,2019-10-10,5,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,907,1
2019-10-11T06:00:00-00:00,2019-10-11T07:00:00-00:00,ALL,2019-10-10,24,0,DAM,Caiso_Totals,Export,ISO_TOT_EXP_MW,1,1027,1
2019-10-11T03:00:00-00:00,2019-10-11T04:00:00-00:00,ALL,2019-10-10,21,0,DAM,Caiso_Totals,Generation,ISO_TOT_GEN_MW,3,19816.94,2
