INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-10-12T13:00:00-00:00,2019-10-12T14:00:00-00:00,2019-10-12,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,45.24196,1
2019-10-12T09:00:00-00:00,2019-10-12T10:00:00-00:00,2019-10-12,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.39597,1
2019-10-12T21:00:00-00:00,2019-10-12T22:00:00-00:00,2019-10-12,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,21.22428,1
2019-10-12T20:00:00-00:00,2019-10-12T21:00:00-00:00,2019-10-12,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,21.34826,1
2019-10-13T02:00:00-00:00,2019-10-13T03:00:00-00:00,2019-10-12,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,55.25835,1
2019-10-12T18:00:00-00:00,2019-10-12T19:00:00-00:00,2019-10-12,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,17.68263,1
2019-10-12T16:00:00-00:00,2019-10-12T17:00:00-00:00,2019-10-12,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,19.74325,1
2019-10-12T17:00:00-00:00,2019-10-12T18:00:00-00:00,2019-10-12,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,18.431,1
2019-10-12T14:00:00-00:00,2019-10-12T15:00:00-00:00,2019-10-12,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,37.72334,1
2019-10-12T12:00:00-00:00,2019-10-12T13:00:00-00:00,2019-10-12,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,37.42056,1
2019-10-12T15:00:00-00:00,2019-10-12T16:00:00-00:00,2019-10-12,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.26416,1
2019-10-13T06:00:00-00:00,2019-10-13T07:00:00-00:00,2019-10-12,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.97892,1
2019-10-13T04:00:00-00:00,2019-10-13T05:00:00-00:00,2019-10-12,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,42.26485,1
2019-10-13T01:00:00-00:00,2019-10-13T02:00:00-00:00,2019-10-12,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,68.18924,1
2019-10-13T00:00:00-00:00,2019-10-13T01:00:00-00:00,2019-10-12,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.81628,1
2019-10-13T03:00:00-00:00,2019-10-13T04:00:00-00:00,2019-10-12,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,44.83412,1
2019-10-12T23:00:00-00:00,2019-10-13T00:00:00-00:00,2019-10-12,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.01656,1
2019-10-12T19:00:00-00:00,2019-10-12T20:00:00-00:00,2019-10-12,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,19.28,1
2019-10-12T10:00:00-00:00,2019-10-12T11:00:00-00:00,2019-10-12,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.49593,1
2019-10-13T05:00:00-00:00,2019-10-13T06:00:00-00:00,2019-10-12,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,37.376,1
2019-10-12T07:00:00-00:00,2019-10-12T08:00:00-00:00,2019-10-12,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,36.51488,1
2019-10-12T11:00:00-00:00,2019-10-12T12:00:00-00:00,2019-10-12,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.83243,1
2019-10-12T22:00:00-00:00,2019-10-12T23:00:00-00:00,2019-10-12,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.48493,1
2019-10-12T08:00:00-00:00,2019-10-12T09:00:00-00:00,2019-10-12,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.46478,1
2019-10-12T23:00:00-00:00,2019-10-13T00:00:00-00:00,2019-10-12,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,1.33089,2
2019-10-12T22:00:00-00:00,2019-10-12T23:00:00-00:00,2019-10-12,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-10-12T19:00:00-00:00,2019-10-12T20:00:00-00:00,2019-10-12,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-10-12T18:00:00-00:00,2019-10-12T19:00:00-00:00,2019-10-12,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-10-12T14:00:00-00:00,2019-10-12T15:00:00-00:00,2019-10-12,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-10-13T05:00:00-00:00,2019-10-13T06:00:00-00:00,2019-10-12,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-10-12T11:00:00-00:00,2019-10-12T12:00:00-00:00,2019-10-12,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-10-12T08:00:00-00:00,2019-10-12T09:00:00-00:00,2019-10-12,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-10-12T15:00:00-00:00,2019-10-12T16:00:00-00:00,2019-10-12,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-10-13T00:00:00-00:00,2019-10-13T01:00:00-00:00,2019-10-12,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.72896,2
